chargeback_id,txn_id,account_id,merchant_id,reason_code,opened_at,resolved_at,status,related_chargeback_id
1,8,160,10,service_not_received,2026-03-06T16:52:17.429Z,2026-04-06T16:52:17.429Z,split,
2,164,42,16,fraud_card_not_present,2026-03-16T23:50:46.792Z,2026-04-22T23:50:46.792Z,open,1
3,172,48,20,fraud_card_present,2026-03-12T05:22:57.195Z,2026-04-14T05:22:57.195Z,cardholder_won,2
4,183,180,18,service_not_received,2026-03-21T11:43:48.754Z,2026-03-24T11:43:48.754Z,merchant_won,
5,205,89,1,fraud_card_present,2026-03-21T02:16:21.506Z,,split,4
6,220,129,15,service_not_received,2026-03-16T08:40:57.215Z,,open,
7,275,53,24,duplicate_charge,2026-03-21T03:08:00.403Z,2026-04-08T03:08:00.403Z,cardholder_won,4
8,307,44,16,duplicate_charge,2026-03-26T00:37:18.434Z,2026-04-11T00:37:18.434Z,merchant_won,
9,338,30,17,duplicate_charge,2026-03-16T16:14:33.058Z,2026-04-12T16:14:33.058Z,cardholder_won,
10,348,136,18,service_not_received,2026-03-24T23:01:04.648Z,2026-04-03T23:01:04.648Z,split,
11,356,117,22,service_not_received,2026-03-18T03:21:00.426Z,2026-04-06T03:21:00.426Z,merchant_won,
12,362,46,10,fraud_card_present,2026-03-23T11:03:07.897Z,,merchant_won,
13,389,134,13,fraud_card_present,2026-03-23T08:30:22.464Z,2026-04-19T08:30:22.464Z,split,
14,461,188,7,fraud_card_present,2026-03-30T13:58:29.884Z,2026-04-21T13:58:29.884Z,split,
15,471,156,9,fraud_card_present,2026-03-25T18:08:38.962Z,2026-04-23T18:08:38.962Z,merchant_won,
16,505,156,16,fraud_card_not_present,2026-04-01T13:42:12.056Z,,open,
17,522,166,24,duplicate_charge,2026-03-27T03:53:50.943Z,,merchant_won,
18,527,159,19,duplicate_charge,2026-03-20T04:34:44.420Z,2026-04-22T04:34:44.420Z,merchant_won,
19,545,195,6,fraud_card_present,2026-03-22T17:17:28.681Z,2026-04-11T17:17:28.681Z,cardholder_won,
20,623,195,10,fraud_card_not_present,2026-03-23T08:47:29.621Z,2026-05-02T08:47:29.621Z,merchant_won,
21,628,188,12,fraud_card_present,2026-03-30T14:20:23.894Z,,merchant_won,
22,655,4,21,service_not_received,2026-03-30T12:12:55.162Z,2026-04-14T12:12:55.162Z,split,
23,736,160,13,service_not_received,2026-03-30T22:53:24.717Z,2026-04-12T22:53:24.717Z,open,
24,792,182,25,duplicate_charge,2026-04-01T13:29:15.759Z,2026-05-01T13:29:15.759Z,cardholder_won,
25,823,170,9,fraud_card_present,2026-04-03T16:15:26.435Z,2026-04-12T16:15:26.435Z,open,
26,890,41,25,duplicate_charge,2026-04-11T08:51:10.876Z,2026-04-27T08:51:10.876Z,open,
27,896,126,5,fraud_card_not_present,2026-04-04T11:23:08.041Z,2026-04-30T11:23:08.041Z,merchant_won,
28,903,4,23,fraud_card_present,2026-03-31T16:49:10.666Z,2026-04-17T16:49:10.666Z,open,
29,918,3,10,fraud_card_not_present,2026-04-13T23:44:34.353Z,2026-04-25T23:44:34.353Z,split,
30,944,142,22,service_not_received,2026-04-14T14:37:27.440Z,2026-05-08T14:37:27.440Z,open,
31,953,17,20,fraud_card_not_present,2026-04-03T19:33:12.110Z,2026-05-08T19:33:12.110Z,open,
32,954,166,14,fraud_card_present,2026-04-14T19:50:58.739Z,2026-05-14T19:50:58.739Z,merchant_won,
33,993,188,11,fraud_card_not_present,2026-04-15T23:12:08.393Z,2026-04-22T23:12:08.393Z,merchant_won,
34,1003,109,14,fraud_card_not_present,2026-04-09T12:41:08.000Z,2026-04-19T12:41:08.000Z,merchant_won,
35,1004,109,11,fraud_card_present,2026-04-14T12:41:52.000Z,2026-05-05T12:41:52.000Z,open,
36,1026,5,1,fraud_card_not_present,2026-04-09T01:24:41.541Z,2026-05-15T01:24:41.541Z,open,
37,1048,49,10,duplicate_charge,2026-04-06T13:43:32.462Z,2026-04-29T13:43:32.462Z,cardholder_won,
38,1101,175,4,duplicate_charge,2026-04-17T03:53:16.198Z,2026-05-18T03:53:16.198Z,merchant_won,
39,1135,199,9,duplicate_charge,2026-04-07T04:16:02.844Z,2026-04-21T04:16:02.844Z,split,
40,1183,17,21,fraud_card_not_present,2026-04-11T10:46:43.690Z,,merchant_won,
41,1222,109,15,fraud_card_not_present,2026-04-14T09:28:08.052Z,2026-04-24T09:28:08.052Z,cardholder_won,
42,1225,79,12,service_not_received,2026-04-14T10:55:19.912Z,,cardholder_won,
43,1268,10,19,fraud_card_present,2026-04-17T18:09:34.974Z,2026-05-13T18:09:34.974Z,open,
44,1279,184,17,service_not_received,2026-04-15T00:53:15.397Z,2026-04-29T00:53:15.397Z,open,
45,1303,4,12,service_not_received,2026-04-15T11:26:32.188Z,2026-05-19T11:26:32.188Z,merchant_won,
46,1309,188,14,fraud_card_present,2026-04-19T12:00:41.000Z,2026-05-17T12:00:41.000Z,split,
47,1389,17,20,fraud_card_not_present,2026-04-18T14:35:27.000Z,2026-05-17T14:35:27.000Z,cardholder_won,
48,1390,17,2,fraud_card_not_present,2026-04-20T14:36:41.000Z,2026-05-15T14:36:41.000Z,open,
49,1433,131,2,service_not_received,2026-04-21T11:07:08.774Z,2026-05-14T11:07:08.774Z,cardholder_won,
50,1446,183,3,service_not_received,2026-04-16T19:19:08.054Z,2026-05-17T19:19:08.054Z,merchant_won,
51,1450,24,13,item_not_as_described,2026-04-20T22:02:50.324Z,2026-05-18T22:02:50.324Z,open,
