branch_number,cert,branch_name,address,city,state,zip,service_type
,628,,118 E Grand River Ave,Fowlerville,MI,48836,FULL SERVICE - BRICK AND MORTAR
,628,,7 W Main St,Riverhead,NY,11901,FULL SERVICE - BRICK AND MORTAR
,628,,203 E Berry St,Fort Wayne,IN,46802,LIMITED SERVICE - CONSUMER CREDIT
,628,,1475 Ruben M. Torres Boulevard,Brownsville,TX,78521,FULL SERVICE - BRICK AND MORTAR
,628,,4011 San Pedro Ave,San Antonio,TX,78212,FULL SERVICE - BRICK AND MORTAR
,3510,,4671 W Irving Park Rd,Chicago,IL,60641,FULL SERVICE - BRICK AND MORTAR
,3510,,One Clinton Square,Syracuse,NY,13202,FULL SERVICE - BRICK AND MORTAR
,3510,,205 N Parrott Ave,Okeechobee,FL,34972,FULL SERVICE - BRICK AND MORTAR
,3510,,2608 Pleasant Hill Rd,Duluth,GA,30096,FULL SERVICE - BRICK AND MORTAR
,3510,,7515 Greenville Ave,Dallas,TX,75231,FULL SERVICE - BRICK AND MORTAR
,7213,,1190 S Dixie Hwy,Coral Gables,FL,33146,FULL SERVICE - BRICK AND MORTAR
,7213,,5800 S Corporate Pl,Sioux Falls,SD,57108,FULL SERVICE - BRICK AND MORTAR
,7213,,1 Penns Way,New Castle,DE,19721,LIMITED SERVICE - ADMINISTRATIVE
,7213,,3660 W Hillsboro Blvd,Deerfield Beach,FL,33442,FULL SERVICE - BRICK AND MORTAR
,7213,,4807 Coconut Creek Pkwy,Coconut Creek,FL,33063,FULL SERVICE - BRICK AND MORTAR
,3511,,1445 Ross Ave,Dallas,TX,75202,FULL SERVICE - BRICK AND MORTAR
,3511,,316 W 2nd St,Portales,NM,88130,FULL SERVICE - BRICK AND MORTAR
,3511,,293 Andrews Ave,Ozark,AL,36360,FULL SERVICE - BRICK AND MORTAR
,3511,,200 Ne 28th St,Fort Worth,TX,76164,FULL SERVICE - BRICK AND MORTAR
,3511,,41 Sw Avenue B,Belle Glade,FL,33430,FULL SERVICE - BRICK AND MORTAR
,6548,,1512 Ogden Ave,Downers Grove,IL,60515,FULL SERVICE - BRICK AND MORTAR
,6548,,1702 Eastland Dr,Bloomington,IL,61704,FULL SERVICE - BRICK AND MORTAR
,6548,,1071 Grand Ave,Saint Paul,MN,55105,FULL SERVICE - BRICK AND MORTAR
,6548,,4000 W Broadway Ave,Robbinsdale,MN,55422,FULL SERVICE - BRICK AND MORTAR
,6548,,1000 Payne Ave,Saint Paul,MN,55130,FULL SERVICE - BRICK AND MORTAR
,4297,,315 Wyckoff Ave,Brooklyn,NY,11237,FULL SERVICE - BRICK AND MORTAR
,4297,,122 W Church St,Bunkie,LA,71322,FULL SERVICE - BRICK AND MORTAR
,4297,,500 E Askew St,Tallulah,LA,71282,FULL SERVICE - BRICK AND MORTAR
,4297,,3775 Stagg Dr,Beaumont,TX,77701,FULL SERVICE - BRICK AND MORTAR
,4297,,1047 W Tunnel Blvd,Houma,LA,70360,FULL SERVICE - BRICK AND MORTAR
,33124,,111 S Main St,Salt Lake City,UT,84111,FULL SERVICE - BRICK AND MORTAR
,33124,,200 West St,New York,NY,10282,Full Service - Brick and Mortar
,33124,,125 High St,Boston,MA,02110,LIMITED SERVICE - TRUST
,33124,,30 Hudson St,Jersey City,NJ,07302,LIMITED SERVICE - TRUST
,33124,,11850 S Election Rd,Draper,UT,84020,FULL SERVICE - BRICK AND MORTAR
,6384,,112 E Pecan St,San Antonio,TX,78205,FULL SERVICE - BRICK AND MORTAR
,6384,,2001 Kirby Dr,Houston,TX,77019,FULL SERVICE - BRICK AND MORTAR
,6384,,8951 Main St,Frisco,TX,75034,FULL SERVICE - BRICK AND MORTAR
,6384,,202 E Washington St,Lebanon,IN,46052,FULL SERVICE - BRICK AND MORTAR
,6384,,235 W Us Highway 83,San Juan,TX,78589,FULL SERVICE - BRICK AND MORTAR
,9846,,401 E Jackson St,Tampa,FL,33602,FULL SERVICE - BRICK AND MORTAR
,9846,,100 Nw 12th Ave,Miami,FL,33128,FULL SERVICE - BRICK AND MORTAR
,9846,,201 Peterson Ave S,Douglas,GA,31533,FULL SERVICE - BRICK AND MORTAR
,9846,,410 W Broad Ave,Albany,GA,31701,FULL SERVICE - BRICK AND MORTAR
,9846,,185 King St,Keysville,VA,23947,FULL SERVICE - BRICK AND MORTAR
,639,,147-48 Leadenhall Street,London,,00000,FULL SERVICE - BRICK AND MORTAR
,639,,"Cardinal Avenue, Barclays Bank Bldg.",Georgetown,,00000,FULL SERVICE - BRICK AND MORTAR
,639,,"Ocean Building, Suite 2202-4",Singapore,,00000,FULL SERVICE - BRICK AND MORTAR
,639,,46 Berkeley Street,London,,00000,FULL SERVICE - BRICK AND MORTAR
,639,,Niedenau 61-63,Frankfurt,,00000,FULL SERVICE - BRICK AND MORTAR
,14,,One Congress Street,Boston,MA,02114,Full Service - Brick and Mortar
,14,,2323 Grand Boulevard,Kansas City,MO,64108,FULL SERVICE - BRICK AND MORTAR
,14,,"111 Town Square Place,suite 735",Jersey City,NJ,07310,FULL SERVICE - BRICK AND MORTAR
,18409,,2307 W Kennedy Blvd,Tampa,FL,33609,FULL SERVICE - BRICK AND MORTAR
,18409,,200 S Pendleton St,Easley,SC,29640,FULL SERVICE - BRICK AND MORTAR
,18409,,324 Main St,Greenfield,MA,01301,FULL SERVICE - BRICK AND MORTAR
,18409,,333 State St,Portsmouth,NH,03801,FULL SERVICE - BRICK AND MORTAR
,18409,,182 Main St,Waterville,ME,04901,FULL SERVICE - BRICK AND MORTAR
,34221,,2000 Westchester Ave,Purchase,NY,10577,Full Service - Brick and Mortar
,57450,,3000 Schwab Way,Westlake,TX,76262,Full Service - Brick and Mortar
,32992,,201 S Main St,Salt Lake City,UT,84111,Full Service - Brick and Mortar
,16571,,210 W 3rd St,Chadron,NE,69337,FULL SERVICE - BRICK AND MORTAR
,16571,,302 N Iowa St,Dodgeville,WI,53533,FULL SERVICE - BRICK AND MORTAR
,16571,,2005 W Route 34,Plano,IL,60545,FULL SERVICE - BRICK AND MORTAR
,16571,,50 N Brockway St,Palatine,IL,60067,FULL SERVICE - BRICK AND MORTAR
,16571,,141 N Park Sq,Fruita,CO,81521,FULL SERVICE - BRICK AND MORTAR
,11063,,248 W Main St,Lake City,SC,29560,FULL SERVICE - BRICK AND MORTAR
,11063,,403 W Main St,Chesterfield,SC,29709,FULL SERVICE - BRICK AND MORTAR
,11063,,100 Mark Whitfield Dr,Jasper,GA,30143,FULL SERVICE - BRICK AND MORTAR
,11063,,303 N Pearl St,Pageland,SC,29728,FULL SERVICE - BRICK AND MORTAR
,11063,,200 W Main St,Kingstree,SC,29556,FULL SERVICE - BRICK AND MORTAR
,57957,,344 Main St,Beacon,NY,12508,FULL SERVICE - BRICK AND MORTAR
,57957,,273 Wall St,Kingston,NY,12401,FULL SERVICE - BRICK AND MORTAR
,57957,,140 Washington St,Dover,NH,03820,FULL SERVICE - BRICK AND MORTAR
,57957,,1 Capital Plz,Concord,NH,03301,FULL SERVICE - BRICK AND MORTAR
,57957,,134 Pleasant St,Portsmouth,NH,03801,FULL SERVICE - BRICK AND MORTAR
,6560,,118 N Court St,Carlisle,AR,72024,FULL SERVICE - BRICK AND MORTAR
,6560,,121 E Main St,Melbourne,AR,72556,FULL SERVICE - BRICK AND MORTAR
,6560,,750 Sunset Dr,Grenada,MS,38901,FULL SERVICE - BRICK AND MORTAR
,6560,,205 S Veterans Blvd,Glennville,GA,30427,FULL SERVICE - BRICK AND MORTAR
,6560,,190 S Ross St,Beaverton,MI,48612,FULL SERVICE - BRICK AND MORTAR
,6672,,1515 Clinton Dr,Galena Park,TX,77547,FULL SERVICE - BRICK AND MORTAR
,6672,,2401 N Halsted St,Chicago,IL,60614,FULL SERVICE - BRICK AND MORTAR
,6672,,101 N Main St,Ann Arbor,MI,48104,FULL SERVICE - BRICK AND MORTAR
,6672,,4800 N Western Ave,Chicago,IL,60625,FULL SERVICE - BRICK AND MORTAR
,6672,,211 W Saint Charles Rd,Lombard,IL,60148,FULL SERVICE - BRICK AND MORTAR
,588,,6 State Street,Nunda,NY,14517,FULL SERVICE - BRICK AND MORTAR
,588,,7 N Calvert St,Baltimore,MD,21202,FULL SERVICE - BRICK AND MORTAR
,588,,68 Exchange St,Binghamton,NY,13901,FULL SERVICE - BRICK AND MORTAR
,588,,1 Fountain Plz,Buffalo,NY,14203,FULL SERVICE - BRICK AND MORTAR
,588,,80 N Main St,Ellenville,NY,12428,FULL SERVICE - BRICK AND MORTAR
,27471,,115 W Towne Ridge Pkwy,Sandy,UT,84070,Full Service - Brick and Mortar
,57803,,200 W Civic Center Dr,Sandy,UT,84070,Full Service - Brick and Mortar
,17534,,11 Division St,Amsterdam,NY,12010,FULL SERVICE - BRICK AND MORTAR
,17534,,1 N Main St,Cortland,NY,13045,FULL SERVICE - BRICK AND MORTAR
,17534,,72 Mohawk St,Cohoes,NY,12047,FULL SERVICE - BRICK AND MORTAR
,17534,,726 Exchange St,Buffalo,NY,14210,FULL SERVICE - BRICK AND MORTAR
,17534,,501 W Broadway St,Idaho Falls,ID,83402,FULL SERVICE - BRICK AND MORTAR
,913,,755 Beachland Blvd,Vero Beach,FL,32963,FULL SERVICE - BRICK AND MORTAR
,913,,600 Brickell Ave,Miami,FL,33131,FULL SERVICE - BRICK AND MORTAR
,913,,1515 Ringling Blvd,Sarasota,FL,34236,FULL SERVICE - BRICK AND MORTAR
,913,,600 Bering Dr,Houston,TX,77057,FULL SERVICE - BRICK AND MORTAR
,913,,440 Royal Palm Way,Palm Beach,FL,33480,FULL SERVICE - BRICK AND MORTAR
,57890,,"66 Hudson Blvd, E",New York,NY,10001,FULL SERVICE - BRICK AND MORTAR
,57890,,445 N Bedford Dr,Beverly Hills,CA,90210,FULL SERVICE - BRICK AND MORTAR
,57890,,34 Moorgate,London,,00000,FULL SERVICE - BRICK AND MORTAR
,57890,,"Shirley Street, Sassoon House",Nassau,,00000,FULL SERVICE - BRICK AND MORTAR
,57890,,"Shenton Way, Shing Kwan House",Singapore,,00000,FULL SERVICE - BRICK AND MORTAR
,12368,,200 W Water St,Woodbury,TN,37190,FULL SERVICE - BRICK AND MORTAR
,12368,,231 E Broadway St,West Memphis,AR,72301,FULL SERVICE - BRICK AND MORTAR
,12368,,6636 Church St,Douglasville,GA,30134,FULL SERVICE - BRICK AND MORTAR
,12368,,1300 W Keiser Ave,Osceola,AR,72370,FULL SERVICE - BRICK AND MORTAR
,12368,,407 N Kingshighway St,Cape Girardeau,MO,63701,FULL SERVICE - BRICK AND MORTAR
,57565,,95 S State St,Salt Lake City,UT,84111,Full Service - Brick and Mortar
,27314,,170 W Election Rd,Draper,UT,84020,Full Service - Brick and Mortar
,27314,,965 Keller Rd,Altamonte Springs,FL,32714,FULL SERVICE - HOME BANKING
,32188,,1 Norterra Dr,Phoenix,AZ,85085,Limited Service - Administrative
,32188,,10750 Mcdermott Fwy,San Antonio,TX,78288,FULL SERVICE - BRICK AND MORTAR
