cert,name,city,state,failure_date,pre_failure_assets,pre_failure_deposits,resolution_type,estimated_loss
57488,METROPOLITAN CAPITAL B&T,CHICAGO,,1/30/2026,261185,212152,FAILURE,
5520,SANTA ANNA NATIONAL BANK,SANTA ANNA,,6/27/2025,76938,71376,FAILURE,23460
28611,PULASKI SAVINGS BANK,CHICAGO,,1/17/2025,49466,42741,FAILURE,30284
4134,FIRST NB OF LINDSAY,LINDSAY,,10/18/2024,107850,97515,FAILURE,47303
27332,REPUBLIC BANK,PHILADELPHIA,,4/26/2024,5866190,4373927,FAILURE,719903
8758,CITIZENS BANK,SAC CITY,,11/3/2023,60448,52311,FAILURE,14596
25851,HEARTLAND TRI-STATE BANK,ELKHART,,7/28/2023,139446,130110,FAILURE,43727
59017,FIRST REPUBLIC BANK,SAN FRANCISCO,,5/1/2023,212638872,176436706,FAILURE,15753256
57053,SIGNATURE BANK,NEW YORK,,3/12/2023,110363650,88612911,FAILURE,0
24735,SILICON VALLEY BANK,SANTA CLARA,,3/10/2023,209026000,175378000,FAILURE,18959624
15426,ALMENA STATE BANK,ALMENA,,10/23/2020,65733,64941,FAILURE,15861
16748,FIRST CITY BANK OF FLORIDA,FORT WALTON BEACH,,10/16/2020,136566,133936,FAILURE,7247
14361,THE FIRST STATE BANK,BARBOURSVILLE,,4/3/2020,151808,143102,FAILURE,43620
18265,ERICSON STATE BANK,ERICSON,,2/14/2020,100879,95159,FAILURE,23279
21111,CITY NATIONAL BANK OF NEW JERSEY,NEWARK,,11/1/2019,120574,111234,FAILURE,2098
58112,LOUISA COMMUNITY BANK,LOUISA,,10/25/2019,28163,25174,FAILURE,4264
58317,RESOLUTE BANK,MAUMEE,,10/25/2019,23292,22885,FAILURE,1571
10716,ENLOE STATE BANK,COOPER,,5/31/2019,36738,31254,FAILURE,18263
30570,WASHINGTON FEDERAL BANK FOR SAVINGS,CHICAGO,,12/15/2017,166345,143964,FAILURE,75282
17719,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,ARGONIA,,10/13/2017,33012,27466,FAILURE,280
1802,FAYETTE COUNTY BANK,SAINT ELMO,,5/26/2017,34370,33972,FAILURE,8088
30003,GUARANTY BANK,MILWAUKEE,,5/5/2017,1031900,1002026,FAILURE,131962
58302,FIRST NBC BANK,NEW ORLEANS,,4/28/2017,3325870,3032208,FAILURE,753398
35495,PROFICIO BANK,COTTONWOOD HEIGHTS,,3/3/2017,68208,65042,FAILURE,10121
19328,SEAWAY BANK AND TRUST COMPANY,CHICAGO,,1/27/2017,297809,256505,FAILURE,43691
34951,HARVEST COMMUNITY BANK,PENNSVILLE,,1/13/2017,124223,122177,FAILURE,22158
91,ALLIED BANK,MULBERRY,,9/23/2016,66336,64713,FAILURE,6213
11297,THE WOODBURY BANKING COMPANY,WOODBURY,,8/19/2016,21426,21122,FAILURE,3290
35312,FIRST CORNERSTONE BANK,KING OF PRUSSIA,,5/6/2016,103307,101040,FAILURE,10825
9956,TRUST COMPANY BANK,MEMPHIS,,4/29/2016,18998,20148,FAILURE,10372
20364,NORTH MILWAUKEE STATE BANK,MILWAUKEE,,3/11/2016,67115,61493,FAILURE,11773
35156,HOMETOWN NATIONAL BANK,LONGVIEW,,10/2/2015,3785,3705,FAILURE,995
35259,THE BANK OF GEORGIA,PEACHTREE CITY,,10/2/2015,286102,264234,FAILURE,27760
34112,PREMIER BANK,DENVER,,7/10/2015,26760,25480,FAILURE,1210
57772,EDGEBROOK BANK,CHICAGO,,5/8/2015,90034,90007,FAILURE,20647
32102,DORAL BANK,SAN JUAN,,2/27/2015,5898515,4097734,FAILURE,690704
33938,CAPITOL CITY BANK & TRUST COMPANY,ATLANTA,,2/13/2015,272311,262652,FAILURE,95942
20290,HIGHLAND COMMUNITY BANK,CHICAGO,,1/23/2015,54727,53453,FAILURE,4743
17557,FIRST NATIONAL BANK OF CRESTVIEW,CRESTVIEW,,1/16/2015,73804,73199,FAILURE,6329
34983,NORTHERN STAR BANK,MANKATO,,12/19/2014,18794,18221,FAILURE,3946
34738,"FRONTIER BANK, FSB",PALM DESERT,,11/7/2014,80736,76344,FAILURE,2905
