cert,name,period_end,total_assets,total_deposits,total_equity,net_income,net_loans,loan_loss_allowance,npl_ratio,tier1_capital_ratio,return_on_assets,return_on_equity
628,JPMORGAN CHASE BANK NA,20251231,3752662000,2697842000,335936000,49644000,1471951000,25539000,0.3618498015542034,15.29035880700036,1.3448553188805723,15.32
3510,BANK OF AMERICA NA,20251231,2636823000,2101968000,246250000,30380000,1166885000,13188000,0.38356764940232996,12.471807379783922,1.1544462063028051,12.24
7213,CITIBANK NATIONAL ASSN,20251231,1836436000,1465300000,176530000,15178000,700763000,17160000,0.30254253347244336,14.327392160721764,0.8458257679165101,8.67
3511,WELLS FARGO BANK NA,20251231,1822693000,1483390000,173751000,24639000,939271000,13806000,0.6473937190739197,12.813860375009714,1.4074992133907964,14.45
6548,U S BANK NATIONAL ASSN,20251231,676125227,533475213,67960628,7887488,386268399,7604656,0.8718472206924472,13.01934411681589,1.1776047780853787,12.02
4297,CAPITAL ONE NATIONAL ASSN,20251231,658464240,504752862,97584212,3201974,430973294,23408802,1.2072834813322588,13.441021406441722,0.5450581333493583,3.93
33124,GOLDMAN SACHS BANK USA,20251231,644997000,438331000,65331000,8737000,226576000,1470000,0.39395532072242195,15.634852463176802,1.421082970295999,13.43
6384,PNC BANK NATIONAL ASSN,20251231,568338163,450665135,59441103,7234397,329027570,4409822,0.5614388066352672,11.911160490694071,1.295406060461283,12.79
9846,TRUIST BANK,20251231,539519000,409427000,63223000,5537000,325296000,5028000,0.42408145032890404,11.778797245368427,1.0402951379494856,8.93
639,BANK OF NEW YORK MELLON,20251231,380997000,332433000,29822000,4828000,40480000,224000,0.03464594209403224,16.330936280326533,1.3133776820461704,16.35
14,STATE STREET BANK&TRUST CO,20251231,360681000,280582000,28919000,3025000,46770000,193000,0.07153135319021517,16.27318149336108,0.832988205437747,10.62
18409,TD BANK NATIONAL ASSN,20251231,346188188,283537865,49728084,1932703,163682980,2726180,0.605950194926928,18.10505189415813,0.5390262720790824,3.99
34221,MORGAN STANLEY PRIVATE BK NA,20251231,254706000,222599000,17721000,2582000,174033000,357000,0.18648952125195323,26.060938422784414,1.0986934823902668,14.69
57450,CHARLES SCHWAB BANK SSB,20251231,253772000,230499000,18658000,2404000,54699000,36000,0.01733839824724556,35.92953590270947,0.9387859981864717,11.76
32992,MORGAN STANLEY BANK NA,20251231,253348000,205145000,25576000,4497000,101315000,553000,0.3426117435306377,20.28739821634815,1.8621565238419804,18.47
16571,BMO BANK NATIONAL ASSN,20251231,252074150,196979273,37358799,2432995,137554293,2248839,0.6052790419009645,14.736711755410404,0.953471060568599,6.74
11063,FIRST-CITIZENS BANK&TRUST CO,20251231,229332000,162082000,23371000,2291000,147163000,1566000,0.7329984476653933,12.549753640342425,1.001235921075863,10.2
57957,CITIZENS BANK NATIONAL ASSN,20251231,225863637,186283426,26838113,1922368,142165126,1942574,0.9031498062700548,12.274058567157411,0.871318329941014,7.45
6560,HUNTINGTON NATIONAL BANK,20251231,224047234,180595114,24293048,2524076,148398763,2537122,0.5492565018678159,11.718730969965556,1.1998613549659756,11.79
6672,FIFTH THIRD BANK NA,20251231,213730000,175203000,24648000,2848000,121131000,2253000,0.5062461984747111,13.091133923394674,1.3442002103144712,12.12
