cert,name,city,state,zip,charter_class,established_date,total_assets,total_deposits,total_equity,office_count,bank_class
628,"JPMorgan Chase Bank, National Association",Columbus,OH,43240,8,01/01/1824,3752662000,2697842000,335936000,5335,N
3510,"Bank of America, National Association",Charlotte,NC,28202,13044,10/17/1904,2636823000,2101968000,246250000,3840,N
7213,"Citibank, National Association",Sioux Falls,SD,57108,1461,06/16/1812,1836436000,1465300000,176530000,958,N
3511,"Wells Fargo Bank, National Association",Sioux Falls,SD,57104,1,01/01/1870,1822693000,1483390000,173751000,4203,N
6548,U.S. Bank National Association,Cincinnati,OH,45202,24,07/13/1863,676125227,533475213,67960628,2101,N
4297,"Capital One, National Association",Mclean,VA,22102,13688,05/22/1933,658464240,504752862,97584212,266,N
33124,Goldman Sachs Bank USA,New York,NY,10282,0,08/30/1990,644997000,438331000,65331000,5,SM
6384,"PNC Bank, National Association",Wilmington,DE,19801,1316,01/01/1804,568338163,450665135,59441103,2325,N
9846,Truist Bank,Charlotte,NC,28202,0,01/01/1872,539519000,409427000,63223000,1931,NM
639,The Bank of New York Mellon,New York,NY,10007,0,01/01/1851,380997000,332433000,29822000,26,SM
14,State Street Bank and Trust Company,Boston,MA,02114,0,01/01/1792,360681000,280582000,28919000,3,SM
18409,"TD Bank, National Association",Wilmington,DE,19808,24096,01/01/1852,346188188,283537865,49728084,1053,N
34221,"Morgan Stanley Private Bank, National Association",Purchase,NY,10577,24981,08/12/1996,254706000,222599000,17721000,1,N
57450,"Charles Schwab Bank, SSB",Westlake,TX,76262,0,04/28/2003,253772000,230499000,18658000,1,SM
32992,"Morgan Stanley Bank, National Association",Salt Lake City,UT,84111,24908,05/25/1990,253348000,205145000,25576000,1,N
16571,BMO Bank National Association,Chicago,IL,60606,14583,05/17/1947,252074150,196979273,37358799,990,N
11063,First-Citizens Bank & Trust Company,Raleigh,NC,27601,0,01/01/1898,229332000,162082000,23371000,518,NM
57957,"Citizens Bank, National Association",Providence,RI,02903,24571,05/13/2005,225863637,186283426,26838113,977,N
6560,The Huntington National Bank,Columbus,OH,43215,7745,01/06/1866,224047234,180595114,24293048,1623,N
6672,"Fifth Third Bank, National Association",Cincinnati,OH,45202,25190,01/01/1865,213730000,175203000,24648000,1510,N
588,Manufacturers and Traders Trust Company,Buffalo,NY,14203,0,01/01/1856,212887157,171492971,28333192,986,SM
