year,state_name,bank_count,total_assets,total_deposits,net_income
2025,Alaska,0,9765541,7816166,154382
2025,Alabama,0,226038665,189884399,3101057
2025,Arkansas,0,178294290,149198813,1741902
2025,American Samoa,0,0,0,0
2025,Arizona,0,95337025,79810032,973644
2025,California,0,519859862,429251256,5475396
2025,Colorado,0,77095759,66427524,898237
2025,Connecticut,0,94806647,78042387,1088018
2025,District Of Columbia,0,3235756,2565902,-14735
2025,Delaware,0,1111607009,888549872,11845608
2025,Florida,0,335646686,279994570,3457302
2025,Federated States of Micronesia,0,270937,235897,3982
2025,Georgia,0,160370413,136067341,2435727
2025,Guam,0,3192532,2893843,24590
2025,Hawaii,0,57079583,49744630,586810
2025,Iowa,0,122573874,101699158,1440137
2025,Idaho,0,10557364,8957386,141346
2025,Illinois,0,750973961,607811469,8087524
2025,Indiana,0,206129113,164364609,2173753
2025,Kansas,0,82123448,69647810,1015081
2025,Kentucky,0,82586630,69209317,1091972
2025,Louisiana,0,74766999,64055649,759636
2025,Massachusetts,0,482441900,379927989,3840252
2025,Maryland,0,44880809,39018531,298770
2025,Maine,0,20843285,16899965,247189
2025,Michigan,0,70283735,56330045,939426
2025,Minnesota,0,86472122,72907171,989553
2025,Missouri,0,292843849,248036074,3888239
2025,Mississippi,0,179237952,149659503,1952354
2025,Montana,0,78780052,64231805,904943
2025,North Carolina,0,3463940403,2724438408,38811801
2025,North Dakota,0,59309013,51007223,626643
2025,Nebraska,0,114716953,95174776,1496941
2025,New Hampshire,0,2820183,2322536,51843
2025,New Jersey,0,140776554,114467318,1285159
2025,New Mexico,0,15077944,13207509,273041
2025,Nevada,0,46178298,29476294,837726
2025,New York,0,1836044080,1440307908,21675435
2025,Ohio,0,5160172988,3834297821,66491994
2025,Oklahoma,0,165332154,136413712,2164312
2025,Oregon,0,73778546,60321729,660698
2025,Other Areas,0,95638781,85592800,1241859
2025,Pennsylvania,0,284836383,238445310,3139373
2025,Pacific Islands,0,3463469,3129740,28572
2025,Puerto Rico,0,91689327,82090573,1204656
2025,Rhode Island,0,232502167,191560268,1975172
2025,South Carolina,0,60521841,52208089,672885
2025,South Dakota,0,3717113581,2998170336,40715079
2025,Tennessee,0,242868758,204323387,2937457
2025,Texas,0,564911722,472778536,7520247
2025,United States,0,23972279805,19014365460,281360298
2025,United States & Other Areas,0,24067918586,19099958260,282602157
2025,Utah,0,1055885692,864890100,20819005
2025,Virginia,0,981547868,774205639,6415106
2025,Virgin Islands Of The U.S.,0,485985,372487,8631
2025,Vermont,0,5279982,4346191,46777
2025,Washington,0,82042756,67900590,797360
2025,Wisconsin,0,151856467,124078279,1762313
2025,West Virginia,0,50444202,41269886,554532
2025,Wyoming,0,9688941,8644242,115876
