permit_id,job_id,bbl,borough,permit_type,permit_status,work_type,filing_date,issuance_date,expiration_date,bldg_type,owner_business_name,owner_business_type,permittee_business_name
1688411,401749756,4006730016,QUEENS,SG,ISSUED,,01/08/2004,01/08/2004,06/30/2004,2,HIGH PERFORMANCE FITNESS CENTER,PARTNERSHIP,PAUL SIGNS INC
1756781,301820661,3026080079,BROOKLYN,EW,ISSUED,MH,09/02/2004,09/10/2004,09/10/2005,2,,2022-05-09 00:00:00,APEX REALTY CO. LLC 7183915300 O
3136,402213289,4095540029,QUEENS,SG,ISSUED,,01/30/2006,04/11/2006,06/30/2006,2,Doral Bank:      7188507290 2022,INDIVIDUAL,WNITECH DESIGN INC DBA SPACESIGN
3244,402213270,4095540029,QUEENS,SG,ISSUED,,01/30/2006,01/30/2006,03/05/2006,2,Doral Bank:      7188507290 2022,INDIVIDUAL,UNITECH DESIGN INC DBA SPACESIGN
3761682,520368263,5029220001,STATEN ISLAND,EW,ISSUED,MH,2020-06-05 ,2020-06-05 ,2021-04-03,2,SR. REAL ESTATE AND CONSTRUCTION,PARTNERSHIP,L.E.C.INC
3761684,220659213,2049730005,BRONX,EW,ISSUED,OT,2020-06-05 ,2020-06-05 ,2021-05-14,2,"THE ZEEZEEZEE GROUP, LLC",PARTNERSHIP,GALAXY GENERAL CONTRACTIN
3761833,240099433,2030810048,BRONX,EW,ISSUED,MH,2020-06-05 ,2020-06-05 ,2021-06-29,2,666 LLC,CORPORATION,C & J CONST AND PAINTING
3761893,440551485,4096810064,QUEENS,EQ,ISSUED,EQ,2020-06-05 ,2020-06-05 ,2021-06-05,2,N/A,INDIVIDUAL,ROCK GROUP NY CORP
3761971,520451261,5007630158,STATEN ISLAND,AL,ISSUED,OT,2020-06-05 ,2020-06-05 ,2021-06-05,1,HOMEOWNER,INDIVIDUAL,HOMEOWNER
3761972,123868886,1000940001,MANHATTAN,EW,ISSUED,OT,2020-06-05 ,2020-06-05 ,2021-03-29,2,NA,INDIVIDUAL,YILIN CONSTRUCTION INC
3762180,220660693,2028780208,BRONX,EW,ISSUED,OT,2020-06-05 ,2020-06-05 ,2020-11-26,2,GINGI REALTY CORP,CORPORATION,RASCO CONTRACTING CORP
3761546,520367077,5005000022,STATEN ISLAND,DM,ISSUED,,2020-06-04 ,2020-06-05 ,2021-01-26,2,HOUSING PRESERVATION & DEVELOPME,NYC AGENCY,"GRANITE ENVIRONMENT, LLC"
3755674,340730178,3018030112,BROOKLYN,EW,ISSUED,OT,2020-06-04 ,2020-06-04 ,2020-11-08,1,BROOKLYN PACT II HDFC,CORPORATION,CHATEAU GC LLC
3761076,123569432,1014030001,MANHATTAN,EW,ISSUED,OT,2020-06-04 ,2020-06-04 ,2020-11-01,2,CITY UNIVERSITY OF NEW YORK,OTHER GOV'T AGENCY,VOLMAR CONSTRUCTION INC
3761361,321718655,3077100016,BROOKLYN,EW,ISSUED,OT,2020-06-04 ,2020-06-04 ,2021-01-10,1,N/A,INDIVIDUAL,CEYLON CONSTRUCTION LLC
3761417,421940207,4048630043,QUEENS,EW,ISSUED,OT,2020-06-04 ,2020-06-04 ,2021-04-11,1,N/A,INDIVIDUAL,FINE FINISH CONSTRUCTION
3761437,340730203,3018030115,BROOKLYN,EW,ISSUED,OT,2020-06-04 ,2020-06-04 ,2020-11-08,1,BROOKLYN PACT II HDFC,CORPORATION,CHATEAU GC LLC
3761545,340729206,3017940115,BROOKLYN,EW,ISSUED,OT,2020-06-04 ,2020-06-04 ,2020-11-08,1,BROOKLYN PACT II HDFC,CORPORATION,CHATEAU GC LLC
3761547,440592976,4073210006,QUEENS,EW,ISSUED,OT,2020-06-04 ,2020-06-04 ,2020-10-21,1,N/A,INDIVIDUAL,KAMTECH RESTORATION CORP
3761565,220666580,2042610015,BRONX,PL,ISSUED,PL,2020-06-04 ,2020-06-04 ,2021-06-04,1,NANETTI AND FORESTER LLC,INDIVIDUAL,HORBRIDGE PLUMBING & HEAT
3761636,421622818,4052480004,QUEENS,FO,ISSUED,,2020-06-04 ,2020-06-04 ,2021-06-11,1,N/A,INDIVIDUAL,ARMANI DESIGN AND DEVELOP
3761028,122810725,1019070025,MANHATTAN,AL,ISSUED,,2020-06-03 ,2020-06-03 ,2020-12-21,1,N/A,INDIVIDUAL,NORANDA SPECIAL PROJECTS
3761032,440363027,4097930079,QUEENS,EW,ISSUED,SD,2020-06-03 ,2020-06-03 ,2021-06-03,2,FIRST JAMAICA COMMUNITY & URBAN,CORPORATION,ARISTA PLBG & HTG CORP
3761230,421798567,4000160008,QUEENS,EW,ISSUED,OT,2020-06-03 ,2020-06-03 ,2021-04-01,2,50-01 2ND STREET ASSOCIATES LLC,CORPORATION,MICHAEL ANTHONY CONTRACTI
3761231,123889845,1016020069,MANHATTAN,EW,ISSUED,OT,2020-06-03 ,2020-06-03 ,2021-04-01,2,1158 5TH AVENUE CORP.,CONDO/CO-OP,URBAN BUILDERS GROUP LTD
3761275,123480214,1009999062,MANHATTAN,EW,ISSUED,OT,2020-06-03 ,2020-06-03 ,2021-06-11,2,"TIMES SQUARE HOTEL ,OWNER LLC",CORPORATION,BREEZE NATIONAL INC
1614185,201045831,2045550026,BRONX,EW,ISSUED,MH,2007-02-13 ,2007-02-13 ,2008-01-01,2,"2955 BOSTON ROAD REALTY, LLC",CORPORATION,"GEM TOOL, INC."
3760794,302573668,3058500030,BROOKLYN,EW,ISSUED,MH,2020-06-02 ,2020-06-02 ,2021-05-01,2,SCHOOL CONSTRUCTION AUTHORITY,OTHER GOV'T AGENCY,ACS SYSTEM ASSOCIATES INC
3760804,123707382,1012627501,MANHATTAN,EW,ISSUED,MH,2020-06-02 ,2020-06-02 ,2021-01-01,2,NW 1180 AOA LLC,CORPORATION,LSL CONSTRUCT SERV INC
3760807,421921843,4010920028,QUEENS,AL,ISSUED,,2020-06-02 ,2020-06-02 ,2020-08-10,1,G&B MECHANICAL CORP.,INDIVIDUAL,ALSS CONSTRUCTION INC
3760902,140891845,1012060001,MANHATTAN,EW,ISSUED,OT,2020-06-02 ,2020-06-02 ,2021-04-01,2,STELLAR MANAGEMENT,PARTNERSHIP,THE HARVEY GROUP LLC
3760943,340727985,3064910011,BROOKLYN,EQ,ISSUED,EQ,2020-06-02 ,2020-06-02 ,2021-06-02,2,SCHIMENTI COSTRUCTION COMPANY,CORPORATION,SCHIMENTI CONSTRUCTION CO
3760969,321527914,3054940111,BROOKLYN,AL,ISSUED,,2020-06-02 ,2020-06-02 ,2021-06-12,1,N/A,INDIVIDUAL,RELIANT BUILDERS CORP
3760973,103649713,1010380014,MANHATTAN,EW,ISSUED,OT,2020-06-02 ,2020-06-02 ,2021-05-31,2,NYC SCA,OTHER GOV'T AGENCY,WDF INC
3760976,302572605,3013670022,BROOKLYN,EW,ISSUED,OT,2020-06-02 ,2020-06-02 ,2021-05-31,2,NYC SCA,OTHER GOV'T AGENCY,WDF INC
3760550,123491961,1015160024,MANHATTAN,EW,ISSUED,OT,2020-06-01 ,2020-06-01 ,2021-01-01,2,WARHOL HOOK AND LADDER 13 LLC,PARTNERSHIP,SMI CONSTRUCTION MANGEMEN
296394,104413207,1006330006,MANHATTAN,EW,ISSUED,OT,2006-04-24 ,2006-04-24 ,2007-01-18,2,Washington W 11 Street Owners Co,CORPORATION,ADBNY LLC
3760253,122136474,1003670001,MANHATTAN,EW,ISSUED,MH,2020-05-29 ,2020-05-29 ,2021-05-31,2,NEW YORK CITY HOUSING AUTHORITY,NYCHA,WDF INC
3760313,140834408,1020610022,MANHATTAN,EW,ISSUED,MH,2020-05-29 ,2020-05-29 ,2020-08-14,1,N/A,INDIVIDUAL,TMG CONSTRUCTION CORP
