bbl,borough,address,zip,bldg_class,land_use,year_built,num_floors,units_residential,units_total,lot_area_sqft,bldg_area_sqft,assess_total,owner_name,latitude,longitude
1009720001,MN,240 1 AVENUE,10009,D7,4,1945,13.0000000,8764,8812,2675000,8942176,790924050.00000,BPP ST OWNER LLC,40.7317236,-73.9778964
1009950005,MN,1472 BROADWAY,10036,O4,5,1998,51.0000000,0,2,45800,1642675,489648150.00000,NYC ECONOMIC DEVELOPMENT CORPORATION,40.7560214,-73.9857642
1010070029,MN,1345 AVENUE OF THE AMER,10105,O9,5,1968,49.0000000,0,50,90375,1931978,429758550.00000,1345 LEASEHOLD LLC,40.7630634,-73.9792541
1010040020,MN,787 7 AVENUE,10019,O4,5,1985,51.0000000,0,48,80333,1633544,331274250.00000,"FSP 787 SEVENTH, LLC",40.7616942,-73.9817958
1010050029,MN,1301 AVENUE OF THE AMER,10019,O4,5,1965,46.0000000,0,79,74631,1482208,316516950.00000,1301 PROPERTIES OWNER LP,40.7617680,-73.9800270
1009780001,MN,342 1 AVENUE,10010,D6,4,1947,15.0000000,2491,2498,828650,3122165,242411400.00000,BPP PCV OWNER LLC,40.7348744,-73.9769824
1012920015,MN,590 MADISON AVENUE,10022,O4,5,1981,43.0000000,0,80,39162,999646,226706400.00000,RXR 590 MADISON OWNER LLC,40.7621042,-73.9730419
1010130029,MN,592 7 AVENUE,10036,O4,5,2000,38.0000000,0,4,27156,1100000,211424400.00000,RXR 5TS OWNER LLC,40.7558569,-73.9875726
1009980029,MN,1177 AVENUE OF THE AMER,10036,O4,5,1988,47.0000000,0,76,32134,912955,173087100.00000,1177 PROPERTY LLC,40.7572891,-73.9828835
1008070001,MN,393 7 AVENUE,10001,O4,5,1926,26.0000000,0,78,57675,1103075,170919450.00000,VORNADO ELEVEN PENN PLAZA OWNER LLC,40.7491464,-73.9911721
1009970029,MN,1155 AVENUE OF THE AMER,10036,O4,5,1984,40.0000000,0,43,33639,734668,151263000.00000,DOLP 1155 PROPERTIES II LLC,40.7566716,-73.9833601
1012780014,MN,340 MADISON AVENUE,10017,O4,5,1922,22.0000000,0,214,32536,558735,136017900.00000,340 MADISON OWNER LLC,40.7539371,-73.9789538
