document_id,record_type,doc_type,recorded_borough,document_date,document_amt,recorded_datetime
2025081800333001,A,DEED,1,2025-08-14,1080000000,2025-08-18
2024012300948001,A,DEED,1,2024-01-22,963000000,2024-01-24
2025081800439001,A,DEED,1,2025-08-14,810000000,2025-08-20
2026021100436002,A,MTGE,1,2026-02-06,780000000,2026-02-13
2026011500410001,A,MTGE,1,2026-01-14,635000000,2026-01-15
2024073100070003,A,MTGE,1,2024-08-13,575863848.08,2024-08-28
2024073100070003,A,MTGE,1,2024-08-13,575863848.08,2024-08-28
2025101000119001,A,DEED,1,2025-09-15,572290334,2025-10-10
2025062000090006,A,MTGE,1,2025-06-09,561636837.4,2025-06-24
2024060600224001,A,DEED,1,2024-06-05,560000000,2024-06-06
2025102700710003,A,MTGE,1,2025-10-21,550133214.88,2025-10-30
2025100700393003,A,DEED,1,2025-10-01,510000000,2025-10-15
2025072300442004,A,MTGE,1,2025-07-14,462272727,2025-07-25
2025121800945002,A,MTGE,1,2025-12-15,450000000,2025-12-22
2025072400178004,A,MTGE,1,2025-07-16,450000000,2025-07-29
2025041800391001,A,MTGE,1,2025-04-14,450000000,2025-04-18
2025123001296001,A,DEED,1,2025-12-17,386000000,2026-01-15
2024081300768001,A,DEED,1,2024-07-31,370000000,2024-08-19
2024112101135009,A,MTGE,1,2024-11-21,364496750,2024-11-22
2025081800439004,A,MTGE,1,2025-08-14,362944444,2025-08-20
2026030200174005,A,MTGE,1,2026-02-01,361349692.56,2026-03-10
2025012400784005,A,MTGE,1,2024-12-30,360736118,2025-01-29
2024123000067001,A,DEED,1,2024-12-27,357000000,2025-01-02
2025011000457001,A,DEED,1,2025-01-08,355000000,2025-01-17
2025050701038002,A,DEED,1,2025-05-01,340000000,2025-05-09
2024121800706012,A,MTGE,1,2024-12-12,335510000,2025-01-10
2025091800528004,A,MTGE,1,2025-09-17,325000000,2025-09-23
2024082000074002,A,DEED,1,2024-08-15,320152500,2024-08-21
2025052600025005,A,MTGE,1,2025-05-16,315000000,2025-05-29
2026031100344013,A,MTGE,1,2026-03-09,314111161,2026-03-26
2026020500896002,A,MTGE,1,2025-12-23,300000000,2026-02-06
2025062300647002,A,MTGE,1,2025-06-18,300000000,2025-06-26
2025093001029005,A,MTGE,1,2025-09-25,298700000,2025-10-03
2026010900967001,A,DEED,1,2026-01-09,297797455.71,2026-01-13
2024070900536001,A,DEED,1,2024-07-03,297000000,2024-07-11
2024091900852003,A,DEED,1,2024-09-16,288519430,2024-09-24
2026030200423005,A,MTGE,1,2026-02-26,276310000,2026-03-03
2024060300674003,A,DEED,1,2024-05-31,275000000,2024-06-06
2025120900893003,A,DEED,1,2025-12-04,273000000,2025-12-10
2024090300633001,A,MTGE,4,2024-06-11,272140380,2024-11-15
2024090300864001,A,MTGE,4,2024-06-11,272140380,2024-11-15
2024073100470010,A,MTGE,1,2024-07-29,271696889.71,2024-08-02
2024020800493003,A,DEED,1,2024-02-02,265000000,2024-02-09
2025122600501001,A,DEED,1,2025-12-19,260000000,2025-12-29
2025122800004069,A,MTGE,4,2025-12-23,257532690,2026-01-21
2024112500990010,A,DEED,1,2024-11-19,255000000,2024-11-26
2026020500950001,A,DEED,1,2026-01-29,254739510,2026-02-27
2025122800004066,A,MTGE,4,2025-12-23,249977077,2026-01-21
2025081300985001,A,MTGE,1,2025-08-11,245000000,2025-08-15
2025071701007001,A,DEED,1,2025-07-11,243500000,2025-07-25
2025031800886004,A,MTGE,1,2025-03-07,243087886.19,2025-03-24
2024021500918011,A,MTGE,1,2024-02-06,242398663,2024-02-27
2025090300220021,A,MTGE,1,2025-08-25,237004225.21,2025-09-10
2024102101082006,A,DEED,1,2024-10-15,235400000,2024-10-22
2025081200637003,A,MTGE,1,2025-08-05,234722359.03,2025-08-13
2024071600114001,A,DEED,1,2024-07-12,233768080.13,2024-07-16
2025101300426001,A,DEED,1,2025-10-09,231210000,2025-10-17
2025031400107004,A,MTGE,1,2025-03-13,231000000,2025-03-17
2025031400107007,A,MTGE,1,2025-03-13,231000000,2025-03-17
2025041100218002,A,MTGE,1,2025-04-01,225000000,2025-04-16
2025010600438003,A,MTGE,1,2024-12-27,225000000,2025-01-07
2025101300430001,A,MTGE,1,2025-09-29,224499500,2025-10-17
2025070200210062,A,MTGE,1,2025-06-24,223585000,2025-07-10
2025070200210065,A,MTGE,1,2025-06-24,222639626,2025-07-10
2025040700957012,A,MTGE,1,2025-03-27,221700000,2025-04-18
2025121900959017,A,MTGE,1,2025-12-18,221475000,2026-01-29
2024122000955001,A,MTGE,1,2024-12-13,220000000,2025-02-13
2025121200273001,A,DEED,1,2025-12-09,218600000,2025-12-16
2025010600241001,A,MTGE,1,2024-12-30,218600000,2025-01-07
2025073100246001,A,MTGE,1,2025-07-18,216163000,2025-08-08
2024032200236001,A,MTGE,1,2024-03-21,216000000,2024-03-22
2026012700123016,A,MTGE,1,2026-01-22,215716472.06,2026-02-06
2025092300446001,A,DEED,1,2025-09-26,213000000,2025-09-30
2025120800540001,A,DEED,1,2025-12-05,211180180.18,2025-12-10
2024102900510005,A,MTGE,1,2024-10-01,209570000,2024-11-20
2024102900510003,A,MTGE,1,2024-10-24,209570000,2024-11-20
2025062500788001,A,DEED,1,2025-06-25,206750000,2025-07-03
2025081900104001,A,DEED,1,2025-08-14,205000000,2025-08-19
2025042400298002,A,MTGE,1,2025-04-16,205000000,2025-04-28
2024120300451001,A,MTGE,3,2024-11-27,204945000,2024-12-10
2026021300541004,A,MTGE,1,2026-02-06,203480667.8,2026-02-17
2025122800029013,A,MTGE,1,2025-12-23,202719362.6,2026-01-05
2025122800029016,A,MTGE,1,2025-12-23,202719362.6,2026-01-05
2024101600189001,A,DEED,1,2024-10-10,202500000,2024-10-21
2025080100965007,A,MTGE,1,2025-07-24,200800000,2025-08-04
2025100200479061,A,MTGE,1,2025-09-25,199753926,2025-10-09
2025061500011013,A,MTGE,1,2025-06-10,198000000,2025-06-26
2025122800004063,A,MTGE,4,2025-12-23,196450000,2026-01-21
2025061600628005,A,MTGE,1,2025-06-01,196000000,2025-06-20
2025012400992010,A,MTGE,1,2024-12-20,192704507,2025-01-29
2025012401000003,A,MTGE,1,2025-01-21,192000000,2025-02-03
2025122400031003,A,MTGE,1,2025-12-18,190000000,2025-12-29
2025122400031003,A,MTGE,1,2025-12-18,190000000,2025-12-29
2025080700469003,A,MTGE,1,2025-08-05,190000000,2025-08-08
2024042200736003,A,DEED,1,2024-04-19,185895187.97,2024-04-24
2025121900959020,A,MTGE,1,2025-12-18,184345339,2026-01-29
2025122700026005,A,MTGE,1,2025-12-22,183817782.65,2026-01-12
2026021600158003,A,DEED,1,2026-02-05,183566575,2026-02-18
