document_id,bbl,property_type,street_number,street_name,unit
2026030200174005,2059330225,CR,5921,PALISADE AVENUE,
2026031100344013,3024141401,OT,280,KENT AVENUE,NRU
2026030200423005,3043930001,AP,180,WORTMAN AVENUE,
2026030200423005,3043690011,OT,520,STANLEY AVENUE,
2026030200423005,3043690001,AP,875,PENNSYLVANIA AVENUE,
2026030200423005,3043750050,OT,696,STANLEY AVENUE,
2026030200423005,3043970001,AP,270,WORTMAN AVENUE,
2026030200423005,3043710001,AP,570,STANLEY AVENUE,
2026030200174005,2059330055,RS,5801,PALISADE AVENUE,
2026030200174005,2059330210,CR,5931,PALISADE AVENUE,
2026020500896002,1013131001,CC,151,EAST 58TH STREET,RETL1
2026021100436002,1010040020,OF,787,7 AVENUE,
2026020500950001,1015631002,CC,400,EAST 84TH STREET,B
2026020500896002,1013131209,OT,151,EAST 58TH STREET,RETL2
2025122800004069,3083290225,AP,9910,SEAVIEW AVENUE,
2026011500410001,4115430002,CR,110-10,ROCKAWAY BOULEVARD,
2026010900967001,4050661201,OT,40-22,COLLEGE POINT BLVD,B
2026010900967001,4050661205,OT,131-07,40 ROAD,A
2025123001296001,1004980009,CR,557,BROADWAY,
2025123001296001,1004980011,CR,549,BROADWAY,
2025122800004066,3083290225,AP,9910,SEAVIEW AVENUE,
2025121800945002,1012911301,CC,717,5 AVENUE,RETL
2025122600501001,1008060076,CR,371,7 AVENUE,
2025122600501001,1008060069,CR,148,WEST 31 STREET,
2025121800945002,1012911302,CC,717,5 AVENUE,4-OFF
2025120900893003,1012990027,OF,147,EAST 44 STREET,
2025100700393003,1014831301,CC,1334,YORK AVENUE,1
2025102700710003,1012681102,CR,660,FIFTH AVENUE,OU1
2025102700710003,1012681105,CR,660,FIFTH AVENUE,OU2
2025101000119001,1009980029,CR,1177,AVENUE OF THE AMER,
2025100700393003,1014831304,CC,1334,YORK AVENUE,4
2025100700393003,1014831303,CC,1334,YORK AVENUE,3
2025100700393003,1014831403,CC,1334,YORK AVENUE,LH3
2025100700393003,1014831401,CC,1334,YORK AVENUE,LH1
2025100700393003,1014831306,CC,1334,YORK AVENUE,10
2025100700393003,1014831404,CC,1334,YORK AVENUE,LH4
2025100700393003,1014831405,CC,1334,YORK AVENUE,LH5
2025100700393003,1014831305,CC,1334,YORK AVENUE,DEM
2025100700393003,1014831302,OT,1334,YORK AVENUE,2
2025100700393003,1014831402,CC,1334,YORK AVENUE,LH2
2025093001029005,3030270001,AP,226,HUMBOLDT STREET,
2025093001029005,3030240001,AP,142,LEONARD STREET,
2025093001029005,3030250046,CR,229,GRAHAM AVENUE,
2025093001029005,3030260001,CR,202,GRAHAM AVENUE,
2025093001029005,3030250070,CR,195,GRAHAM AVENUE,
2025091800528004,1008541024,CC,11,MADISON AVENUE,16-01
2025091800528004,1008541021,CC,11,MADISON AVENUE,13-01
2025091800528004,1008541026,CC,11,MADISON AVENUE,18-01
2025091800528004,1008541004,CC,11,MADISON AVENUE,1R2
2025091800528004,1008541025,CC,11,MADISON AVENUE,17-01
2025091800528004,1008541023,CC,11,MADISON AVENUE,15-01
2025091800528004,1008541020,CC,11,MADISON AVENUE,12-01
2025091800528004,1008541013,CC,11,MADISON AVENUE,5-01
2025091800528004,1008541012,CC,11,MADISON AVENUE,4-01
2025091800528004,1008541008,CC,11,MADISON AVENUE,101
2025091800528004,1008541036,CC,11,MADISON AVENUE,28-01
2025091800528004,1008541027,CC,11,MADISON AVENUE,19-01
2025091800528004,1008541030,CC,11,MADISON AVENUE,22-01
2025091800528004,1008541018,CC,11,MADISON AVENUE,10-01
2025091800528004,1008541009,CC,11,MADISON AVENUE,102
2025091800528004,1008541001,CC,11,MADISON AVENUE,B2-01
2025091800528004,1008541028,CC,11,MADISON AVENUE,20-01
2025091800528004,1008541011,CC,11,MADISON AVENUE,3-01
2025091800528004,1008541010,CC,11,MADISON AVENUE,2-01
2025091800528004,1008541006,CC,11,MADISON AVENUE,1R4
2025091800528004,1008541019,CC,11,MADISON AVENUE,11-01
2025091800528004,1008541003,CC,11,MADISON AVENUE,1R1
2025091800528004,1008541014,CC,11,MADISON AVENUE,6-01
2025091800528004,1008541022,CC,11,MADISON AVENUE,14-01
2025091800528004,1008541005,CC,11,MADISON AVENUE,1R3
2025091800528004,1008541033,CC,11,MADISON AVENUE,25-01
2025091800528004,1008541032,CC,11,MADISON AVENUE,24-01
2025091800528004,1008541015,CC,11,MADISON AVENUE,7-01
2025091800528004,1008541015,CC,11,MADISON AVENUE,7-01
2025091800528004,1008541029,CC,11,MADISON AVENUE,21-01
2025091800528004,1008541017,CC,11,MADISON AVENUE,9-01
2025091800528004,1008541002,CC,11,MADISON AVENUE,B1-01
2025091800528004,1008541031,CC,11,MADISON AVENUE,23-01
2025091800528004,1008541007,CC,11,MADISON AVENUE,1R5
2025091800528004,1008541034,CC,11,MADISON AVENUE,26-01
2024073100070003,1006891123,SC,500,WEST 18TH STREET,W26D
2024073100070003,1006891168,SC,500,WEST 18TH STREET,E14C
2024073100070003,1006891108,SC,500,WEST 18TH STREET,W23A
2024073100070003,1006891182,SC,500,WEST 18TH STREET,E16C
2024073100070003,1006891062,SC,500,WEST 18TH STREET,W15A
2024073100070003,1006891028,SC,500,WEST 18TH STREET,W8F
2024073100070003,1006891001,TS,500,WEST 18TH STREET,HOTL
2024073100070003,1006891081,SC,500,WEST 18TH STREET,W18B
2024073100070003,1006891024,SC,500,WEST 18TH STREET,W8B
2024073100070003,1006891183,SC,500,WEST 18TH STREET,E16D
2024073100070003,1006891050,SC,500,WEST 18TH STREET,W12A
2024073100070003,1006891008,SC,500,WEST 18TH STREET,W5E
2024073100070003,1006891194,SC,500,WEST 18TH STREET,E18A
2024073100070003,1006891074,SC,500,WEST 18TH STREET,W17A
2024073100070003,1006891058,SC,500,WEST 18TH STREET,W14C
2024073100070003,1006891055,SC,500,WEST 18TH STREET,W12F
2024073100070003,1006891015,SC,500,WEST 18TH STREET,W6F
2024073100070003,1006891149,SC,500,WEST 18TH STREET,PH34B
2024073100070003,1006891011,SC,500,WEST 18TH STREET,W6B
2024073100070003,1006891093,SC,500,WEST 18TH STREET,W20B
2024073100070003,1006891212,SC,500,WEST 18TH STREET,E20E
2024073100070003,1006891184,SC,500,WEST 18TH STREET,E16E
2024073100070003,1006891090,SC,500,WEST 18TH STREET,W19E
2024073100070003,1006891005,SC,500,WEST 18TH STREET,W5B
2024073100070003,1006891172,SC,500,WEST 18TH STREET,E14G
2024073100070003,1006891224,SC,500,WEST 18TH STREET,E22C
2024073100070003,1006891136,SC,500,WEST 18TH STREET,W30A
2024073100070003,1006891122,SC,500,WEST 18TH STREET,W26C
2024073100070003,1006891213,SC,500,WEST 18TH STREET,E20F
2024073100070003,1006891022,SC,500,WEST 18TH STREET,W7G
2024073100070003,1006891128,SC,500,WEST 18TH STREET,W28AD
2024073100070003,1006891218,SC,500,WEST 18TH STREET,E21D
2024073100070003,1006891214,SC,500,WEST 18TH STREET,E20G
2024073100070003,1006891169,SC,500,WEST 18TH STREET,E14D
2024073100070003,1006891089,SC,500,WEST 18TH STREET,W19D
2024073100070003,1006891034,SC,500,WEST 18TH STREET,W9E
2024073100070003,1006891059,SC,500,WEST 18TH STREET,W14D
2024073100070003,1006891234,SC,500,WEST 18TH STREET,E24C
2024073100070003,1006891065,SC,500,WEST 18TH STREET,W15D
2024073100070003,1006891037,SC,500,WEST 18TH STREET,W10A
2024073100070003,1006891166,SC,500,WEST 18TH STREET,E14A
2024073100070003,1006891053,SC,500,WEST 18TH STREET,W12D
2024073100070003,1006891023,SC,500,WEST 18TH STREET,W8A
2024073100070003,1006891125,SC,500,WEST 18TH STREET,W27B
2024073100070003,1006891216,SC,500,WEST 18TH STREET,E21B
2024073100070003,1006891094,SC,500,WEST 18TH STREET,W20C
2024073100070003,1006891086,SC,500,WEST 18TH STREET,W19A
2024073100070003,1006891060,SC,500,WEST 18TH STREET,W14E
2024073100070003,1006891082,SC,500,WEST 18TH STREET,W18C
2024073100070003,1006891004,SC,500,WEST 18TH STREET,W5A
2024073100070003,1006891046,SC,500,WEST 18TH STREET,W11C
2024073100070003,1006891226,SC,500,WEST 18TH STREET,E22E
2024073100070003,1000000000,SC,,,
2024073100070003,1006891144,SC,500,WEST 18TH STREET,PH32A
2024073100070003,1006891201,SC,500,WEST 18TH STREET,E19A
2024073100070003,1006891146,SC,500,WEST 18TH STREET,PH33A
2024073100070003,1006891035,SC,500,WEST 18TH STREET,W9F
2024073100070003,1006891019,SC,500,WEST 18TH STREET,W7D
2024073100070003,1006891164,SC,500,WEST 18TH STREET,E12E
2024073100070003,1006891150,SC,500,WEST 18TH STREET,PH35A
2024073100070003,1006891191,SC,500,WEST 18TH STREET,E17E
2024073100070003,1006891112,SC,500,WEST 18TH STREET,W24A
2024073100070003,1006891031,SC,500,WEST 18TH STREET,W9B
2024073100070003,1006891134,SC,500,WEST 18TH STREET,W29C
2024073100070003,1006891021,SC,500,WEST 18TH STREET,W7F
2024073100070003,1006891047,SC,500,WEST 18TH STREET,W11D
2024073100070003,1006891044,SC,500,WEST 18TH STREET,W11A
