document_id,party_type,party_role,name
2026030200174005,1,SELLER,RIVER'S EDGE
2026030200423005,1,SELLER,STANLEY AVENUE PRESERVATION HDFC
2026030200423005,2,BUYER,NEW YORK CITY HOUSING DEVELOPMENT CORPORATION
2026030200174005,2,BUYER,BUILD NYC RESOURCE CORPORATION
2026030200174005,1,SELLER,"RIVERSPRING HEALTH SENIOR LIVING, INC."
2026030200423005,1,SELLER,STANLEY AVENUE PRESERVATION LLC
2026031100344013,2,BUYER,MANUFACTURERS AND TRADERS TRUST COMPANY
2026031100344013,1,SELLER,280 KENT N LLC
2026030200174005,2,BUYER,THE BANK OF NEW YORK MELLON
2026020500950001,2,BUYER,400 EAST 84TH STREET OWNERS CORP
2026020500896002,1,SELLER,731 COMMERCIAL LLC
2026020500896002,2,BUYER,ALX REGO HOLDINGS LLC
2026021100436002,2,BUYER,CALIFORNIA PUBLIC EMPLOYEES' RETIREMENT SYSTEM
2026021100436002,1,SELLER,FSP 787 SEVENTH LLC
2026020500950001,1,SELLER,400 EAST 84TH STREET ASSOCIATES L.P
2026020500896002,1,SELLER,731 RETAIL ONE LLC
2025122800004069,1,SELLER,BAY VIEW HOUSING DEVELOPMENT FUND CORPORATION
2025122800004066,1,SELLER,BAY VIEW PACT LLC
2025122800004066,2,BUYER,NEW YORK CITY HOUSING DEVELOPMENT CORPORATION
2026011500410001,2,BUYER,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
2026011500410001,1,SELLER,GENTING NEW YORK LLC
2026010900967001,2,BUYER,"SATURN CONDOMINIUM, LLC"
2026010900967001,1,SELLER,BRE SKYVIEW RETAIL OWNER LLC
2025123001296001,1,SELLER,"SCHOLASTIC 557 BROADWAY, LLC"
2025123001296001,2,BUYER,"ESRT 555-557 BROADWAY, L.L.C."
2025122800004069,2,BUYER,NEW YORK CITY HOUSING AUTHORITY
2025122800004069,1,SELLER,BAY VIEW PACT LLC
2025122800004066,1,SELLER,BAY VIEW HOUSING DEVELOPMENT FUND CORPORATION
2025122600501001,2,BUYER,BG STEWART HOUSING DEVELOPMENT FUND CORPORATION
2025122600501001,1,SELLER,CYH MANHATTAN LLC
2025122600501001,2,BUYER,371 7TH AVENUE OWNER LLC
2025121800945002,2,BUYER,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
2025121800945002,1,SELLER,"NEW 717 FIFTH AVE, LLC"
2025120900893003,2,BUYER,"2GC OWNERS, LLC"
2025120900893003,1,SELLER,NRCF 2GC LLC
2025093001029005,1,SELLER,WILLIAMSBURG PACT LLC
2025093001029005,2,BUYER,NEW YORK CITY HOUSING DEVELOPMENT CORPORATION
2025093001029005,1,SELLER,PARTNERSHIP COMMUNITY HOUSING DEVELOPMENT FUND
2025102700710003,1,SELLER,BSREP III NERO LLC
2025102700710003,2,BUYER,ING CAPITAL LLC
2025102700710003,2,BUYER,"BANK OF AMERICA, N.A."
2025102700710003,2,BUYER,CITI REAL ESTATE FUNDING INC.
2025102700710003,2,BUYER,BARCLAYS CAPITAL REAL ESTATE INC.
2025102700710003,2,BUYER,"SANTANDER BANK, N.A."
2025101000119001,2,BUYER,1177 PROPERTY LLC
2025101000119001,1,SELLER,1177 AVENUE OF THE AMERICAS ACQUISITION LLC
2025100700393003,1,SELLER,"1334 YORK, LLC"
2025100700393003,2,BUYER,CORNELL UNIVERSITY
