udi,machine_failure,twf,hdf,pwf,osf,rnf
5640,0,0,0,0,0,1
2171,0,0,0,0,0,0
228,0,0,0,0,0,0
976,0,0,0,0,0,0
3239,0,0,0,0,0,0
1001,0,0,0,0,0,0
3392,0,0,0,0,0,0
1194,0,0,0,0,0,0
3102,0,0,0,0,0,0
2951,0,0,0,0,0,0
3133,0,0,0,0,0,0
1200,0,0,0,0,0,0
905,0,0,0,0,0,0
661,0,0,0,0,0,0
842,0,0,0,0,0,0
4438,0,0,0,0,0,0
981,0,0,0,0,0,0
3647,0,0,0,0,0,0
2775,0,0,0,0,0,0
3926,0,0,0,0,0,0
2727,0,0,0,0,0,0
3908,0,0,0,0,0,0
4068,0,0,0,0,0,0
665,0,0,0,0,0,0
3857,0,0,0,0,0,0
3500,0,0,0,0,0,0
2743,0,0,0,0,0,0
3845,0,0,0,0,0,0
821,0,0,0,0,0,0
4368,0,0,0,0,0,0
4099,0,0,0,0,0,0
984,0,0,0,0,0,0
3850,0,0,0,0,0,0
700,0,0,0,0,0,0
4324,1,0,1,0,0,0
860,0,0,0,0,0,0
2805,0,0,0,0,0,0
989,0,0,0,0,0,0
1062,0,0,0,0,0,0
892,0,0,0,0,0,0
3456,0,0,0,0,0,0
785,0,0,0,0,0,0
4090,0,0,0,0,0,0
769,0,0,0,0,0,0
2956,0,0,0,0,0,0
3632,0,0,0,0,0,0
4333,0,0,0,0,0,0
811,0,0,0,0,0,0
4334,0,0,0,0,0,0
1123,0,0,0,0,0,0
4321,0,0,0,0,0,0
549,0,0,0,0,0,0
13,0,0,0,0,0,0
763,0,0,0,0,0,0
3151,0,0,0,0,0,0
455,0,0,0,0,0,0
2949,0,0,0,0,0,0
1280,0,0,0,0,0,0
965,0,0,0,0,0,0
2670,0,0,0,0,0,0
402,0,0,0,0,0,0
980,0,0,0,0,0,0
798,0,0,0,0,0,0
407,0,0,0,0,0,0
295,0,0,0,0,0,0
227,0,0,0,0,0,0
2807,0,0,0,0,0,0
3479,0,0,0,0,0,0
33,0,0,0,0,0,0
4529,0,0,0,0,0,0
2660,0,0,0,0,0,0
35,0,0,0,0,0,0
3458,1,0,0,1,0,0
4489,0,0,0,0,0,0
1270,0,0,0,0,0,0
