udi,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm
5640,302.6,312.1,1668,28.7
2171,299.4,309.1,1500,43.3
228,298.3,308.5,1539,36.1
976,296,306.6,1628,36.8
3239,300.9,309.4,1724,25.6
1001,296.3,307.1,1654,29.6
3392,301.5,310.7,1466,47.3
1194,297.1,308.2,1347,50.8
3102,299.8,309,1467,37.3
2951,300.7,309.5,1445,46.4
3133,300.1,309.5,1557,40.6
1200,296.9,307.9,1979,20.4
905,295.7,306.2,1458,49.8
661,297.7,309.2,1700,27.4
842,296.6,307.5,1439,45.5
4438,302.4,310.2,1578,31.2
981,296.1,306.7,1409,42.8
3647,302.2,311.5,1863,25.7
2775,300.1,309.4,1559,39.7
3926,302.6,311.6,1638,29.6
2727,299.8,309.4,1423,42.9
3908,302.3,311.2,1842,23.9
4068,301.9,310.7,1429,51
665,297.5,308.9,1390,47.4
3857,302.4,311.2,1330,58.6
3500,301.9,311,1353,43.8
2743,299.6,309.1,1369,51.4
3845,302.4,311.1,1484,45.9
821,296.7,307.6,1516,37.4
4368,302,309.9,1447,42.8
4099,302,310.3,1648,29.6
984,296.2,306.9,1526,34.9
3850,302.3,311,1561,37.2
700,297.5,308.7,1416,39.2
4324,301.8,310.3,1341,50.5
860,296.2,307,1542,40.6
2805,300.1,309.5,1450,40.1
989,296.3,307.1,1774,25.9
1062,296.7,307.9,1420,50.1
892,295.7,306.1,1408,47.9
3456,301.4,310.3,1611,41.5
785,296.7,307.9,1743,27.9
4090,301.9,310.5,1590,40.3
769,296.9,308,1713,29.3
2956,300.7,309.5,1439,43.8
3632,302.1,311.4,1419,36.2
4333,301.7,309.9,1452,41.5
811,296.9,307.7,1550,39.7
4334,301.6,309.8,1588,33.9
1123,296.5,307.6,1541,38.5
4321,301.7,310.3,1397,44.6
549,297.4,309.3,1332,53.2
13,298.6,309.1,1339,51.1
763,296.7,307.8,1286,60.5
3151,300.4,309.8,1513,32.9
455,297.4,308.7,1468,46.6
2949,300.7,309.5,1850,24.5
1280,298.3,309.6,1531,40.1
965,295.7,306.5,1737,26.2
2670,299.7,309.3,1494,37.8
402,297.5,308.5,1722,30.4
980,296.2,306.8,1389,53.3
798,296.8,307.7,1565,40.1
407,297.4,308.6,1439,51.9
295,298.1,308.5,1372,51.1
227,298.3,308.4,1329,49.2
2807,300,309.3,1364,41.2
3479,301.8,310.7,1597,30.8
33,299,309.4,1419,48.3
4529,302.5,310.5,1507,39.5
2660,299.8,309.3,1595,32.1
35,298.8,309.1,1559,34.7
3458,301.5,310.4,2639,12
4489,302.5,310.4,1509,37.6
1270,298.1,309.5,1467,41.8
4341,301.7,309.9,1533,40.9
877,295.7,306.3,1915,22.4
2829,300.4,309.4,1875,23.9
411,297.5,308.6,1472,44.9
477,297.4,309,1570,37.9
3422,301.5,310.5,1612,29.8
4643,303.2,311.4,1238,54.6
4584,302.9,311.2,1467,37.7
1015,296.2,307.2,1445,41.8
4038,302,310.8,1609,35.2
3534,302,311,1563,36.2
1175,297.1,308.1,1352,44.4
4546,302.5,310.5,1463,43
3615,301.8,311,1606,33.3
432,297.5,308.5,1446,41.9
4352,301.8,309.6,1432,43.7
167,298.4,308.2,1612,32.6
4346,301.8,309.8,1546,39.8
974,295.9,306.6,1679,30.4
671,297.6,309,1822,25.4
4342,301.7,309.8,1398,46
1143,296.9,307.9,1423,43.9
3186,300.1,309.3,1685,27.1
2947,300.7,309.5,1622,30.5
880,295.8,306.3,1337,54.6
3860,302.6,311.5,1599,37
3121,300.1,309.4,1563,40.8
4509,302.4,310,1426,46.6
1173,297.1,308.1,1446,36.6
3847,302.3,310.9,1403,47.2
3773,302.4,311.1,1448,44.8
198,298.4,308.6,1527,40.9
4242,302.4,311,1475,47.9
1065,296.8,307.9,1409,44.3
1203,297,308.1,1355,51.4
4776,303.5,312,1761,25.8
461,297.3,308.6,1431,42
474,297.4,309,1520,37
428,297.5,308.5,1496,42.2
