udi,product_id,type,tool_wear_min
5640,L52819,L,180
2171,M17030,M,10
228,L47407,L,168
976,M15835,M,121
3239,M18098,M,119
1001,L48180,L,188
3392,L50571,L,77
1194,L48373,L,49
3102,H32515,H,193
2951,M17810,M,24
3133,L50312,L,59
1200,M16059,M,68
905,H30318,H,151
661,M15520,M,176
842,L48021,L,199
4438,L51617,L,139
981,L48160,L,134
3647,M18506,M,85
2775,L49954,L,24
3926,L51105,L,160
2727,M17586,M,124
3908,M18767,M,111
4068,L51247,L,76
665,L47844,L,187
3857,M18716,M,201
3500,L50679,L,130
2743,L49922,L,164
3845,L51024,L,169
821,L48000,L,146
4368,H33781,H,185
4099,L51278,L,157
984,L48163,L,140
3850,L51029,L,180
700,H30113,H,74
4324,L51503,L,64
860,H30273,H,28
2805,L49984,L,100
989,H30402,H,154
1062,L48241,L,138
892,L48071,L,117
3456,H32869,H,11
785,L47964,L,55
4090,M18949,M,130
769,L47948,L,13
2956,M17815,M,41
3632,M18491,M,47
4333,M19192,M,86
811,L47990,L,124
4334,L51513,L,89
1123,L48302,L,98
4321,L51500,L,57
549,L47728,L,115
13,M14872,M,34
763,M15622,M,0
3151,L50330,L,117
455,L47634,L,94
2949,L50128,L,19
1280,M16139,M,81
965,L48144,L,97
2670,H32083,H,214
402,L47581,L,178
980,L48159,L,132
798,L47977,L,89
407,L47586,L,188
295,M15154,M,116
227,L47406,L,166
2807,L49986,L,104
3479,L50658,L,74
33,L47212,L,91
4529,L51708,L,147
2660,H32073,H,183
35,M14894,M,95
3458,M18317,M,21
4489,M19348,M,45
1270,L48449,L,48
4341,M19200,M,106
877,L48056,L,79
2829,M17688,M,155
411,M15270,M,198
477,L47656,L,154
3422,M18281,M,148
4643,L51822,L,226
4584,M19443,M,73
1015,L48194,L,20
4038,M18897,M,4
3534,L50713,L,8
1175,M16034,M,0
4546,L51725,L,189
3615,L50794,L,4
432,L47611,L,32
4352,L51531,L,138
167,H29580,H,10
4346,M19205,M,121
974,L48153,L,117
671,L47850,L,202
4342,L51521,L,109
1143,L48322,L,149
3186,L50365,L,203
2947,M17806,M,14
880,L48059,L,87
3860,L51039,L,211
3121,H32534,H,28
4509,L51688,L,102
1173,L48352,L,227
3847,L51026,L,173
3773,L50952,L,195
198,M15057,M,96
4242,L51421,L,79
1065,M15924,M,145
1203,M16062,M,76
4776,L51955,L,105
461,H29874,H,109
474,M15333,M,147
428,M15287,M,22
157,M15016,M,203
182,H29595,H,49
3446,M18305,M,208
427,L47606,L,20
3154,M18013,M,124
4549,L51728,L,197
4349,L51528,L,131
4337,H33750,H,95
258,L47437,L,15
4222,L51401,L,32
732,M15591,M,160
378,M15237,M,120
3172,L50351,L,170
1026,L48205,L,44
321,H29734,H,185
335,M15194,M,5
38,L47217,L,104
129,L47308,L,124
127,L47306,L,120
3450,L50629,L,220
298,L47477,L,124
3362,L50541,L,208
244,L47423,L,204
4510,L51689,L,104
2948,L50127,L,17
351,H29764,H,43
3575,L50754,L,112
2676,L49855,L,6
188,L47367,L,65
808,L47987,L,118
1248,L48427,L,212
2924,M17783,M,155
4601,L51780,L,115
420,M15279,M,2
3001,H32414,H,159
995,M15854,M,172
772,H30185,H,19
855,M15714,M,15
3623,L50802,L,25
4506,L51685,L,95
916,M15775,M,181
2812,L49991,L,115
2762,L49941,L,212
883,M15742,M,94
2653,L49832,L,167
1161,H30574,H,195
2784,M17643,M,44
3682,M18541,M,174
11,H29424,H,24
3729,L50908,L,83
4182,M19041,M,152
914,L48093,L,176
4560,L51739,L,13
705,L47884,L,92
316,L47495,L,175
3655,L50834,L,104
833,L48012,L,173
4,L47183,L,7
117,L47296,L,99
325,M15184,M,196
4638,M19497,M,212
4612,L51791,L,146
686,M15545,M,32
1193,M16052,M,46
910,L48089,L,167
4784,L51963,L,125
470,M15329,M,131
737,L47916,L,175
3002,L50181,L,164
3875,L51054,L,19
4366,L51545,L,181
841,L48020,L,197
81,H29494,H,4
